Sl no,Student id,Name,Branch,Group,Slot 1,Slot 2,Slot 3,Venue
60,1RV26AIML060,Krishna Gowda,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
61,1RV26AIML061,Priya Mishra,AIML,B,9:15 AM - 10:30 AM,,,mca
62,1RV26AIML062,Dev Joshi,AIML,B,9:15 AM - 10:30 AM,,,chemical
63,1RV26AIML063,Aditi Nair,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
64,1RV26AIML064,Anika Bhat,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
65,1RV26AIML065,Varun Sharma,AIML,B,9:15 AM - 10:30 AM,,,chemical
66,1RV26AIML066,Varun Kumar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
67,1RV26AIML067,Aditi Soni,AIML,B,9:15 AM - 10:30 AM,,,mca
68,1RV26AIML068,Vaishnavi Verma,AIML,B,9:15 AM - 10:30 AM,,,mca
69,1RV26AIML069,Yash Pawar,AIML,B,9:15 AM - 10:30 AM,,,chemical
70,1RV26AIML070,Ishan Bhat,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
71,1RV26AIML071,Tejas Yadav,AIML,B,9:15 AM - 10:30 AM,,,chemical
72,1RV26AIML072,Vihaan Hegde,AIML,B,9:15 AM - 10:30 AM,,,chemical
73,1RV26AIML073,Rishi Singh,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
74,1RV26AIML074,Nikhil Sharma,AIML,B,9:15 AM - 10:30 AM,,,chemical
75,1RV26AIML075,Ishita Verma,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
76,1RV26AIML076,Ritvik Naik,AIML,B,9:15 AM - 10:30 AM,,,mca
77,1RV26AIML077,Madhav Iyer,AIML,B,9:15 AM - 10:30 AM,,,mca
78,1RV26AIML078,Meera Kulkarni,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
79,1RV26AIML079,Kunal Soni,AIML,B,9:15 AM - 10:30 AM,,,mca
80,1RV26AIML080,Vaishnavi Pawar,AIML,B,9:15 AM - 10:30 AM,,,mca
81,1RV26AIML081,Priya Verma,AIML,B,9:15 AM - 10:30 AM,,,bt
82,1RV26AIML082,Aditya Joshi,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
83,1RV26AIML083,Sanjana Desai,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
84,1RV26AIML084,Neha Iyer,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
85,1RV26AIML085,Anirudh Mehta,AIML,B,9:15 AM - 10:30 AM,,,mca
86,1RV26AIML086,Lakshmi Rao,AIML,B,9:15 AM - 10:30 AM,,,bt
87,1RV26AIML087,Riya Bhat,AIML,B,9:15 AM - 10:30 AM,,,bt
88,1RV26AIML088,Aarav Patil,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
89,1RV26AIML089,Karthik Mishra,AIML,B,9:15 AM - 10:30 AM,,,mca
90,1RV26AIML090,Sahana Das,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
91,1RV26AIML091,Ishita Shetty,AIML,B,9:15 AM - 10:30 AM,,,bt
92,1RV26AIML092,Bhavana Gowda,AIML,B,9:15 AM - 10:30 AM,,,bt
93,1RV26AIML093,Nikhil Nair,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
94,1RV26AIML094,Nandini Pawar,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
95,1RV26AIML095,Nandini Sharma,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
96,1RV26AIML096,Nikhil Gupta,AIML,B,9:15 AM - 10:30 AM,,,mca
97,1RV26AIML097,Aarav Reddy,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
98,1RV26AIML098,Nikhil Pawar,AIML,B,9:15 AM - 10:30 AM,,,bt
99,1RV26AIML099,Sanjana Reddy,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
100,1RV26AIML100,Kunal Mehta,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
101,1RV26AIML101,Ritika Sharma,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
102,1RV26AIML102,Rohan Reddy,AIML,B,9:15 AM - 10:30 AM,,,bt
103,1RV26AIML103,Aman Gowda,AIML,B,9:15 AM - 10:30 AM,,,bt
104,1RV26AIML104,Dev Yadav,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
105,1RV26AIML105,Shruti Pawar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
106,1RV26AIML106,Aarav Kulkarni,AIML,B,9:15 AM - 10:30 AM,,,bt
107,1RV26AIML107,Aman Kapoor,AIML,B,9:15 AM - 10:30 AM,,,bt
108,1RV26AIML108,Ritvik Kumar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
109,1RV26AIML109,Sahana Pandey,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
110,1RV26AIML110,Vihaan Chauhan,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
111,1RV26AIML111,Shruti Kale,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
112,1RV26AIML112,Yash Kale,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
113,1RV26AIML113,Arjun Pawar,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
114,1RV26AIML114,Anjali Kale,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
115,1RV26AIML115,Kavya Das,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
116,1RV26AIML116,Rishi Nair,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
117,1RV26AIML117,Pragya Kumar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
118,1RV26AIML118,Rishi Chauhan,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
119,1RV26AIML119,Rachana Joshi,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
120,1RV26AIML120,Naveen Chauhan,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
121,1RV26AIML121,Ishan Kapoor,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
122,1RV26AIML122,Harsh Nair,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
123,1RV26AIML123,Varun Yadav,AIML,B,9:15 AM - 10:30 AM,,,classroom 3
124,1RV26BT001,Nikhil Menon,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,civil
125,1RV26BT002,Shruti Pandey,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
126,1RV26BT003,Vivek Verma,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,civil
127,1RV26BT004,Dhruv Jain,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,chemical
128,1RV26BT005,Charvi Shetty,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,civil
129,1RV26BT006,Harini Kapoor,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
130,1RV26BT007,Rachana Reddy,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
131,1RV26BT008,Dhruv Rao,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
132,1RV26BT009,Aditya Mishra,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
133,1RV26BT010,Harini Kapoor,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
134,1RV26BT011,Priya Chauhan,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
135,1RV26BT012,Divya Kapoor,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,civil
136,1RV26BT013,Lakshmi Singh,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,chemical
137,1RV26BT014,Riya Mishra,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,mca
138,1RV26BT015,Lakshmi Menon,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
139,1RV26BT016,Sahana Patil,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,bt
140,1RV26BT017,Harsh Verma,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,mca
141,1RV26BT018,Pranav Desai,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
142,1RV26BT019,Ritvik Gowda,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
143,1RV26BT020,Harsh Jain,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
144,1RV26BT021,Vivek Sharma,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,bt
145,1RV26BT022,Kunal Gowda,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,bt
146,1RV26BT023,Aditya Menon,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,classroom 3
147,1RV26BT024,Ishita Reddy,BIOTECHNOLOGY,B,9:15 AM - 10:30 AM,,,classroom 3
148,1RV26BT025,Madhav Das,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
149,1RV26BT026,Divya Naik,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
150,1RV26BT027,Arjun Yadav,BIOTECHNOLOGY,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
151,1RV26CH001,Siddharth Singh,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
152,1RV26CH002,Vaishnavi Menon,CE,B,9:15 AM - 10:30 AM,,,civil
153,1RV26CH003,Aditya Reddy,CE,B,9:15 AM - 10:30 AM,,,civil
154,1RV26CH004,Harsh Yadav,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
155,1RV26CH005,Lakshmi Kapoor,CE,B,9:15 AM - 10:30 AM,,,civil
156,1RV26CH006,Ritika Naik,CE,B,9:15 AM - 10:30 AM,,,civil
157,1RV26CH007,Aditya Hegde,CE,B,9:15 AM - 10:30 AM,,,civil
158,1RV26CH008,Kunal Sharma,CE,B,9:15 AM - 10:30 AM,,,civil
159,1RV26CH009,Aarav Kumar,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
160,1RV26CH010,Ritvik Shetty,CE,B,9:15 AM - 10:30 AM,,,civil
161,1RV26CH011,Aditya Singh,CE,B,9:15 AM - 10:30 AM,,,civil
162,1RV26CH012,Aditi Verma,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
163,1RV26CH013,Diya Jain,CE,B,9:15 AM - 10:30 AM,,,civil
164,1RV26CH014,Naveen Kulkarni,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
165,1RV26CH015,Harsh Kumar,CE,B,9:15 AM - 10:30 AM,,,chemical
166,1RV26CH016,Lakshmi Reddy,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
167,1RV26CH017,Varun Gowda,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
168,1RV26CH018,Sanjana Kapoor,CE,B,9:15 AM - 10:30 AM,,,civil
169,1RV26CH019,Priya Hegde,CE,B,9:15 AM - 10:30 AM,,,chemical
170,1RV26CH020,Harini Kulkarni,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
171,1RV26CH021,Sneha Menon,CE,B,9:15 AM - 10:30 AM,,,chemical
172,1RV26CH022,Aditya Pawar,CE,B,9:15 AM - 10:30 AM,,,chemical
173,1RV26CH023,Vivek Patil,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
174,1RV26CH024,Vishal Pandey,CE,B,9:15 AM - 10:30 AM,,,chemical
175,1RV26CH025,Sai Reddy,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
176,1RV26CH026,Charvi Kale,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
177,1RV26CH027,Ishita Iyer,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
178,1RV26CH028,Ananya Rao,CE,B,9:15 AM - 10:30 AM,,,chemical
179,1RV26CH029,Aditi Mehta,CE,B,9:15 AM - 10:30 AM,,,mca
180,1RV26CSE001,Kunal Patil,CSE,B,9:15 AM - 10:30 AM,,,civil
181,1RV26CSE002,Madhav Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
182,1RV26CSE003,Arjun Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
183,1RV26CSE004,Nikhil Nair,CSE,B,9:15 AM - 10:30 AM,,,civil
184,1RV26CSE005,Anjali Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
185,1RV26CSE006,Kunal Kapoor,CSE,B,9:15 AM - 10:30 AM,,,civil
186,1RV26CSE007,Kavya Bhat,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
187,1RV26CSE008,Diya Mehta,CSE,B,9:15 AM - 10:30 AM,,,civil
188,1RV26CSE009,Aarav Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
189,1RV26CSE010,Anirudh Bhat,CSE,B,9:15 AM - 10:30 AM,,,civil
190,1RV26CSE011,Ritika Bhat,CSE,B,9:15 AM - 10:30 AM,,,civil
191,1RV26CSE012,Ritvik Pawar,CSE,B,9:15 AM - 10:30 AM,,,civil
192,1RV26CSE013,Aarav Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
193,1RV26CSE014,Priya Reddy,CSE,B,9:15 AM - 10:30 AM,,,civil
194,1RV26CSE015,Siddharth Menon,CSE,B,9:15 AM - 10:30 AM,,,civil
195,1RV26CSE016,Anirudh Patil,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
196,1RV26CSE017,Bhavana Rao,CSE,B,9:15 AM - 10:30 AM,,,civil
197,1RV26CSE018,Pooja Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
198,1RV26CSE019,Pooja Das,CSE,B,9:15 AM - 10:30 AM,,,civil
199,1RV26CSE020,Madhav Jain,CSE,B,9:15 AM - 10:30 AM,,,civil
200,1RV26CSE021,Aarav Kumar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
201,1RV26CSE022,Shashank Chauhan,CSE,B,9:15 AM - 10:30 AM,,,civil
202,1RV26CSE023,Dhruv Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
203,1RV26CSE024,Riya Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
204,1RV26CSE025,Aryan Gupta,CSE,B,9:15 AM - 10:30 AM,,,civil
205,1RV26CSE026,Pooja Patil,CSE,B,9:15 AM - 10:30 AM,,,civil
206,1RV26CSE027,Rohan Menon,CSE,B,9:15 AM - 10:30 AM,,,civil
207,1RV26CSE028,Charvi Shetty,CSE,B,9:15 AM - 10:30 AM,,,civil
208,1RV26CSE029,Dev Das,CSE,B,9:15 AM - 10:30 AM,,,civil
209,1RV26CSE030,Naveen Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
210,1RV26CSE031,Aditi Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
211,1RV26CSE032,Naveen Joshi,CSE,B,9:15 AM - 10:30 AM,,,civil
212,1RV26CSE033,Anjali Desai,CSE,B,9:15 AM - 10:30 AM,,,civil
213,1RV26CSE034,Varun Das,CSE,B,9:15 AM - 10:30 AM,,,civil
214,1RV26CSE035,Aditya Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
215,1RV26CSE036,Kavya Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
216,1RV26CSE037,Kunal Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
217,1RV26CSE038,Manya Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
218,1RV26CSE039,Madhav Joshi,CSE,B,9:15 AM - 10:30 AM,,,civil
219,1RV26CSE040,Divya Gupta,CSE,B,9:15 AM - 10:30 AM,,,civil
220,1RV26CSE041,Shashank Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
221,1RV26CSE042,Diya Gowda,CSE,B,9:15 AM - 10:30 AM,,,civil
222,1RV26CSE043,Sneha Hegde,CSE,B,9:15 AM - 10:30 AM,,,civil
223,1RV26CSE044,Ritvik Rao,CSE,B,9:15 AM - 10:30 AM,,,civil
224,1RV26CSE045,Ishan Rao,CSE,B,9:15 AM - 10:30 AM,,,civil
225,1RV26CSE046,Diya Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
226,1RV26CSE047,Siddharth Pawar,CSE,B,9:15 AM - 10:30 AM,,,civil
227,1RV26CSE048,Aarohi Desai,CSE,B,9:15 AM - 10:30 AM,,,civil
228,1RV26CSE049,Aditi Iyer,CSE,B,9:15 AM - 10:30 AM,,,civil
229,1RV26CSE050,Neha Shetty,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
230,1RV26CSE051,Ishan Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
231,1RV26CSE052,Bhavana Kapoor,CSE,B,9:15 AM - 10:30 AM,,,civil
